time,A's ID,B's ID,A Clicks,B Clicks,Looking at A's piece,Looking at B's piece
2015-04-14 10:33:17.966000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:18.067000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:18.167000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:18.267000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:18.366000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:18.500000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:18.633000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:18.766000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:19.065000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:19.165000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:19.266000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:19.369000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:19.466000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:19.566000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:19.667000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:19.767000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:19.866000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:19.965000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:20.069000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:20.197000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:20.299000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:20.398000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:20.497000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:20.599000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:20.964000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:21.197000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:21.330000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:21.463000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:21.563000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:21.729000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:21.830000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:21.964000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:21.997000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:22.063000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:22.163000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:22.263000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:22.365000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:22.463000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:22.563000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:22.662000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:22.763000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:22.862000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:22.961000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:23.061000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:23.161000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:23.261000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
