Test at 5/7/2015 5:15:10 PM,

Client Num: ,31, X_Received: ,47, Y_Received: ,227,Time: ,2015-05-07 17:15:28.643
Client Num:, 31, X: ,26, Y: ,550,Time: ,2015-05-07 17:15:28.743
Client Num: ,31, X_Received: ,74, Y_Received: ,498,Time: ,2015-05-07 17:15:28.743
Client Num:, 31, X: ,25, Y: ,550,Time: ,2015-05-07 17:15:28.843
Client Num: ,31, X_Received: ,80, Y_Received: ,507,Time: ,2015-05-07 17:15:28.843
Client Num:, 31, X: ,26, Y: ,550,Time: ,2015-05-07 17:15:28.943
Client Num: ,31, X_Received: ,151, Y_Received: ,496,Time: ,2015-05-07 17:15:28.943
Client Num:, 31, X: ,27, Y: ,550,Time: ,2015-05-07 17:15:29.042
Client Num: ,31, X_Received: ,403, Y_Received: ,455,Time: ,2015-05-07 17:15:29.042
Client Num:, 31, X: ,26, Y: ,550,Time: ,2015-05-07 17:15:29.143
Client Num: ,31, X_Received: ,401, Y_Received: ,467,Time: ,2015-05-07 17:15:29.143
Client Num:, 31, X: ,27, Y: ,549,Time: ,2015-05-07 17:15:29.243
Client Num: ,31, X_Received: ,403, Y_Received: ,461,Time: ,2015-05-07 17:15:29.243
Client Num:, 31, X: ,26, Y: ,549,Time: ,2015-05-07 17:15:29.342
Client Num: ,31, X_Received: ,398, Y_Received: ,457,Time: ,2015-05-07 17:15:29.342
Client Num:, 31, X: ,29, Y: ,548,Time: ,2015-05-07 17:15:29.442
Client Num: ,31, X_Received: ,54, Y_Received: ,582,Time: ,2015-05-07 17:15:29.442
Client Num:, 31, X: ,31, Y: ,546,Time: ,2015-05-07 17:15:29.542
Client Num: ,31, X_Received: ,61, Y_Received: ,574,Time: ,2015-05-07 17:15:29.542
Client Num:, 31, X: ,33, Y: ,545,Time: ,2015-05-07 17:15:29.643
Client Num: ,31, X_Received: ,59, Y_Received: ,567,Time: ,2015-05-07 17:15:29.643
Client Num:, 31, X: ,32, Y: ,546,Time: ,2015-05-07 17:15:29.742
Client Num: ,31, X_Received: ,56, Y_Received: ,563,Time: ,2015-05-07 17:15:29.742
Client Num:, 31, X: ,39, Y: ,548,Time: ,2015-05-07 17:15:29.842
Client Num: ,31, X_Received: ,57, Y_Received: ,562,Time: ,2015-05-07 17:15:29.842
Client Num:, 31, X: ,65, Y: ,558,Time: ,2015-05-07 17:15:29.942
Client Num: ,31, X_Received: ,69, Y_Received: ,558,Time: ,2015-05-07 17:15:29.942
Client Num:, 31, X: ,88, Y: ,569,Time: ,2015-05-07 17:15:30.042
Client Num: ,31, X_Received: ,356, Y_Received: ,532,Time: ,2015-05-07 17:15:30.042
Client Num:, 31, X: ,109, Y: ,578,Time: ,2015-05-07 17:15:30.142
Client Num: ,31, X_Received: ,903, Y_Received: ,446,Time: ,2015-05-07 17:15:30.142
Client Num:, 31, X: ,128, Y: ,586,Time: ,2015-05-07 17:15:30.242
