Test at 4/30/2015 10:52:05 AM,

Client Num: ,15, X_Received: ,627, Y_Received: ,557,Time: ,2015-04-30 11:38:14.119
Client Num: ,15, X_Received: ,627, Y_Received: ,557,Time: ,2015-04-30 11:38:14.119
Client Num:, 15, X: ,-4493, Y: ,252,Time: ,2015-04-30 11:38:14.219
Client Num: ,15, X_Received: ,640, Y_Received: ,547,Time: ,2015-04-30 11:38:14.219
Client Num:, 15, X: ,90, Y: ,191,Time: ,2015-04-30 11:38:14.318
Client Num: ,15, X_Received: ,367, Y_Received: ,411,Time: ,2015-04-30 11:38:14.318
Client Num:, 15, X: ,-6, Y: ,311,Time: ,2015-04-30 11:38:14.453
Client Num: ,15, X_Received: ,378, Y_Received: ,419,Time: ,2015-04-30 11:38:14.453
Client Num:, 15, X: ,698, Y: ,136,Time: ,2015-04-30 11:38:14.619
Client Num: ,15, X_Received: ,385, Y_Received: ,424,Time: ,2015-04-30 11:38:14.619
Client Num:, 15, X: ,-2343, Y: ,155,Time: ,2015-04-30 11:38:14.819
Client Num: ,15, X_Received: ,385, Y_Received: ,427,Time: ,2015-04-30 11:38:14.819
Client Num:, 15, X: ,2264, Y: ,164,Time: ,2015-04-30 11:38:14.917
Client Num: ,15, X_Received: ,619, Y_Received: ,480,Time: ,2015-04-30 11:38:14.917
Client Num:, 15, X: ,443, Y: ,511,Time: ,2015-04-30 11:38:15.018
Client Num: ,15, X_Received: ,606, Y_Received: ,475,Time: ,2015-04-30 11:38:15.018
Client Num:, 15, X: ,832, Y: ,75,Time: ,2015-04-30 11:38:15.117
Client Num: ,15, X_Received: ,678, Y_Received: ,224,Time: ,2015-04-30 11:38:15.117
Client Num:, 15, X: ,411, Y: ,519,Time: ,2015-04-30 11:38:15.285
Client Num: ,15, X_Received: ,677, Y_Received: ,230,Time: ,2015-04-30 11:38:15.285
Client Num: ,15, X_Received: ,677, Y_Received: ,230,Time: ,2015-04-30 11:38:15.317
Client Num:, 15, X: ,-4216, Y: ,12,Time: ,2015-04-30 11:38:15.450
Client Num: ,15, X_Received: ,625, Y_Received: ,490,Time: ,2015-04-30 11:38:15.450
Client Num:, 15, X: ,-3311, Y: ,130,Time: ,2015-04-30 11:38:15.750
Client Num: ,15, X_Received: ,623, Y_Received: ,522,Time: ,2015-04-30 11:38:15.750
Client Num:, 15, X: ,-16135, Y: ,300,Time: ,2015-04-30 11:38:15.883
Client Num: ,15, X_Received: ,624, Y_Received: ,524,Time: ,2015-04-30 11:38:15.883
Client Num:, 15, X: ,-3792, Y: ,339,Time: ,2015-04-30 11:38:16.017
Client Num: ,15, X_Received: ,181, Y_Received: ,409,Time: ,2015-04-30 11:38:16.017
Client Num:, 15, X: ,-1936, Y: ,543,Time: ,2015-04-30 11:38:16.116
Client Num: ,15, X_Received: ,177, Y_Received: ,407,Time: ,2015-04-30 11:38:16.116
Client Num:, 15, X: ,-702, Y: ,399,Time: ,2015-04-30 11:38:16.216
Client Num: ,15, X_Received: ,176, Y_Received: ,405,Time: ,2015-04-30 11:38:16.216
Client Num:, 15, X: ,-954, Y: ,976,Time: ,2015-04-30 11:38:16.384
Client Num: ,15, X_Received: ,160, Y_Received: ,400,Time: ,2015-04-30 11:38:16.384
Client Num:, 15, X: ,335, Y: ,450,Time: ,2015-04-30 11:38:16.484
Client Num: ,15, X_Received: ,177, Y_Received: ,409,Time: ,2015-04-30 11:38:16.484
Client Num:, 15, X: ,-648, Y: ,571,Time: ,2015-04-30 11:38:16.583
Client Num: ,15, X_Received: ,202, Y_Received: ,417,Time: ,2015-04-30 11:38:16.583
Client Num:, 15, X: ,-81, Y: ,454,Time: ,2015-04-30 11:38:16.683
Client Num: ,15, X_Received: ,215, Y_Received: ,419,Time: ,2015-04-30 11:38:16.683
Client Num:, 15, X: ,1138, Y: ,-289,Time: ,2015-04-30 11:38:16.783
Client Num: ,15, X_Received: ,247, Y_Received: ,366,Time: ,2015-04-30 11:38:16.783
Client Num:, 15, X: ,1167, Y: ,306,Time: ,2015-04-30 11:38:16.882
Client Num: ,15, X_Received: ,245, Y_Received: ,377,Time: ,2015-04-30 11:38:16.882
Client Num:, 15, X: ,-541, Y: ,419,Time: ,2015-04-30 11:38:16.984
Client Num: ,15, X_Received: ,647, Y_Received: ,542,Time: ,2015-04-30 11:38:16.984
Client Num:, 15, X: ,721, Y: ,76,Time: ,2015-04-30 11:38:17.084
Client Num: ,15, X_Received: ,653, Y_Received: ,488,Time: ,2015-04-30 11:38:17.084
Client Num:, 15, X: ,-3194, Y: ,664,Time: ,2015-04-30 11:38:17.182
Client Num: ,15, X_Received: ,653, Y_Received: ,488,Time: ,2015-04-30 11:38:17.182
Client Num:, 15, X: ,-1803, Y: ,550,Time: ,2015-04-30 11:38:17.283
Client Num: ,15, X_Received: ,653, Y_Received: ,488,Time: ,2015-04-30 11:38:17.283
Client Num:, 15, X: ,-3693, Y: ,590,Time: ,2015-04-30 11:38:17.383
Client Num: ,15, X_Received: ,653, Y_Received: ,488,Time: ,2015-04-30 11:38:17.383
Client Num:, 15, X: ,-3935, Y: ,444,Time: ,2015-04-30 11:38:17.451
Client Num: ,15, X_Received: ,312, Y_Received: ,482,Time: ,2015-04-30 11:38:17.451
Client Num:, 15, X: ,-3881, Y: ,481,Time: ,2015-04-30 11:38:17.584
Client Num: ,15, X_Received: ,249, Y_Received: ,496,Time: ,2015-04-30 11:38:17.584
Client Num:, 15, X: ,-1371, Y: ,1052,Time: ,2015-04-30 11:38:17.682
Client Num: ,15, X_Received: ,371, Y_Received: ,478,Time: ,2015-04-30 11:38:17.682
Client Num:, 15, X: ,-614, Y: ,391,Time: ,2015-04-30 11:38:17.882
Client Num: ,15, X_Received: ,418, Y_Received: ,451,Time: ,2015-04-30 11:38:17.882
Client Num:, 15, X: ,-1197, Y: ,108,Time: ,2015-04-30 11:38:18.048
Client Num: ,15, X_Received: ,418, Y_Received: ,468,Time: ,2015-04-30 11:38:18.048
Client Num:, 15, X: ,559, Y: ,244,Time: ,2015-04-30 11:38:18.148
Client Num: ,15, X_Received: ,416, Y_Received: ,468,Time: ,2015-04-30 11:38:18.148
Client Num:, 15, X: ,127, Y: ,212,Time: ,2015-04-30 11:38:18.249
Client Num: ,15, X_Received: ,417, Y_Received: ,470,Time: ,2015-04-30 11:38:18.249
Client Num:, 15, X: ,303, Y: ,800,Time: ,2015-04-30 11:38:18.348
Client Num:, 15, X: ,98, Y: ,658,Time: ,2015-04-30 11:38:18.449
Client Num: ,15, X_Received: ,310, Y_Received: ,547,Time: ,2015-04-30 11:38:18.449
Client Num:, 15, X: ,-2310, Y: ,258,Time: ,2015-04-30 11:38:18.651
Client Num: ,15, X_Received: ,459, Y_Received: ,496,Time: ,2015-04-30 11:38:18.651
Client Num:, 15, X: ,-1651, Y: ,-975,Time: ,2015-04-30 11:38:18.815
Client Num: ,15, X_Received: ,440, Y_Received: ,456,Time: ,2015-04-30 11:38:18.815
Client Num:, 15, X: ,-1365, Y: ,456,Time: ,2015-04-30 11:38:18.952
Client Num: ,15, X_Received: ,174, Y_Received: ,600,Time: ,2015-04-30 11:38:18.952
Client Num:, 15, X: ,-266, Y: ,407,Time: ,2015-04-30 11:38:19.050
Client Num: ,15, X_Received: ,176, Y_Received: ,607,Time: ,2015-04-30 11:38:19.050
Client Num:, 15, X: ,-1338, Y: ,314,Time: ,2015-04-30 11:38:19.147
Client Num: ,15, X_Received: ,420, Y_Received: ,624,Time: ,2015-04-30 11:38:19.147
Client Num:, 15, X: ,-914, Y: ,324,Time: ,2015-04-30 11:38:19.247
Client Num: ,15, X_Received: ,701, Y_Received: ,659,Time: ,2015-04-30 11:38:19.247
Client Num:, 15, X: ,-1331, Y: ,355,Time: ,2015-04-30 11:38:19.413
Client Num: ,15, X_Received: ,692, Y_Received: ,654,Time: ,2015-04-30 11:38:19.413
Client Num:, 15, X: ,-311, Y: ,262,Time: ,2015-04-30 11:38:19.546
Client Num: ,15, X_Received: ,682, Y_Received: ,651,Time: ,2015-04-30 11:38:19.546
Client Num:, 15, X: ,-206, Y: ,477,Time: ,2015-04-30 11:38:19.647
Client Num: ,15, X_Received: ,888, Y_Received: ,634,Time: ,2015-04-30 11:38:19.647
Client Num:, 15, X: ,-910, Y: ,488,Time: ,2015-04-30 11:38:19.747
Client Num: ,15, X_Received: ,906, Y_Received: ,641,Time: ,2015-04-30 11:38:19.747
Client Num:, 15, X: ,-450, Y: ,436,Time: ,2015-04-30 11:38:19.884
Client Num: ,15, X_Received: ,906, Y_Received: ,641,Time: ,2015-04-30 11:38:19.884
Client Num:, 15, X: ,-450, Y: ,884,Time: ,2015-04-30 11:38:19.982
Client Num: ,15, X_Received: ,906, Y_Received: ,641,Time: ,2015-04-30 11:38:19.982
Client Num:, 15, X: ,156, Y: ,910,Time: ,2015-04-30 11:38:20.081
Client Num: ,15, X_Received: ,906, Y_Received: ,641,Time: ,2015-04-30 11:38:20.081
Client Num:, 15, X: ,534, Y: ,708,Time: ,2015-04-30 11:38:20.180
Client Num: ,15, X_Received: ,906, Y_Received: ,641,Time: ,2015-04-30 11:38:20.180
Client Num:, 15, X: ,-1282, Y: ,715,Time: ,2015-04-30 11:38:20.281
Client Num: ,15, X_Received: ,906, Y_Received: ,641,Time: ,2015-04-30 11:38:20.281
Client Num:, 15, X: ,-268, Y: ,686,Time: ,2015-04-30 11:38:20.381
Client Num: ,15, X_Received: ,929, Y_Received: ,682,Time: ,2015-04-30 11:38:20.381
Client Num:, 15, X: ,-1995, Y: ,523,Time: ,2015-04-30 11:38:20.480
