Test at 5/12/2015 2:04:20 PM,
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:13.119
Client Num:, 37, X: ,231, Y: ,633,Time: ,2015-05-12 14:37:13.219
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:13.219
Client Num:, 37, X: ,233, Y: ,635,Time: ,2015-05-12 14:37:13.319
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:13.319
Client Num:, 37, X: ,232, Y: ,632,Time: ,2015-05-12 14:37:13.418
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:13.418
Client Num:, 37, X: ,228, Y: ,635,Time: ,2015-05-12 14:37:13.518
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:13.518
Client Num:, 37, X: ,223, Y: ,636,Time: ,2015-05-12 14:37:13.620
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:13.620
Client Num:, 37, X: ,220, Y: ,629,Time: ,2015-05-12 14:37:13.719
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:13.719
Client Num:, 37, X: ,220, Y: ,619,Time: ,2015-05-12 14:37:13.819
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:13.819
Client Num:, 37, X: ,224, Y: ,615,Time: ,2015-05-12 14:37:13.918
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:13.918
Client Num:, 37, X: ,236, Y: ,624,Time: ,2015-05-12 14:37:14.019
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:14.019
Client Num:, 37, X: ,241, Y: ,634,Time: ,2015-05-12 14:37:14.120
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:14.120
Client Num:, 37, X: ,240, Y: ,642,Time: ,2015-05-12 14:37:14.218
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:14.218
Client Num:, 37, X: ,239, Y: ,652,Time: ,2015-05-12 14:37:14.318
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:14.318
Client Num:, 37, X: ,243, Y: ,655,Time: ,2015-05-12 14:37:14.418
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:14.418
Client Num:, 37, X: ,247, Y: ,663,Time: ,2015-05-12 14:37:14.518
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:14.518
Client Num:, 37, X: ,251, Y: ,668,Time: ,2015-05-12 14:37:14.618
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:14.618
Client Num:, 37, X: ,246, Y: ,679,Time: ,2015-05-12 14:37:14.718
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:14.718
Client Num:, 37, X: ,237, Y: ,691,Time: ,2015-05-12 14:37:14.817
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:14.817
Client Num:, 37, X: ,229, Y: ,704,Time: ,2015-05-12 14:37:14.918
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:14.918
Client Num:, 37, X: ,225, Y: ,716,Time: ,2015-05-12 14:37:15.017
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:15.017
Client Num:, 37, X: ,226, Y: ,728,Time: ,2015-05-12 14:37:15.118
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:15.118
Client Num:, 37, X: ,223, Y: ,736,Time: ,2015-05-12 14:37:15.217
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:15.217
Client Num:, 37, X: ,215, Y: ,739,Time: ,2015-05-12 14:37:15.317
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:15.317
Client Num:, 37, X: ,207, Y: ,743,Time: ,2015-05-12 14:37:15.418
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:15.418
Client Num:, 37, X: ,208, Y: ,747,Time: ,2015-05-12 14:37:15.617
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:15.617
Client Num:, 37, X: ,209, Y: ,729,Time: ,2015-05-12 14:37:15.717
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:15.717
Client Num:, 37, X: ,211, Y: ,713,Time: ,2015-05-12 14:37:15.817
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:15.817
Client Num:, 37, X: ,295, Y: ,164,Time: ,2015-05-12 14:37:15.917
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:15.917
Client Num:, 37, X: ,290, Y: ,163,Time: ,2015-05-12 14:37:16.017
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:16.017
Client Num:, 37, X: ,441, Y: ,125,Time: ,2015-05-12 14:37:16.116
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:16.116
Client Num:, 37, X: ,453, Y: ,109,Time: ,2015-05-12 14:37:16.217
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:16.217
